ID,Name,Country,Date of birth,Place of birth,Gold,Silver,Bronze,Event
3065,Mizuki Fujii,Japan,8/5/1988,ASHIKITA,0,0,0,Women's Doubles
3066,Takuro Fujii,Japan,4/21/1985,Osaka,0,0,0,"Men's 100m Butterfly, Men's 4x100m Medley Relay"
3067,Tsutomu Fujimura,Japan,3/28/1982,HIKARI,0,0,0,Men's 66kg Greco-Roman
3068,Kaori Fujio,Japan,1/29/1981,KUNITACHI,0,0,0,Women's Hockey
3069,Isamu Fujisawa,Japan,10/12/1987,NAKANO,0,0,0,Men's 20km Race Walk
3070,Arata Fujiwara,Japan,9/12/1981,ISAHAYA,0,0,0,Men's Marathon
3071,Natsuki Fukase,Japan,4/10/1994,Akita,0,0,0,Group All-Around
3072,Fabio Fognini,Italy,5/24/1987,,0,0,0,Men's Singles
3073,Farrah Hall,USA,11/1/1981,Annapolis,0,0,0,Women's RS-X
3074,Filipe Fuzaro,Brazil,12/5/1982,Sao Paulo (BRA),0,0,0,Men's Double Trap
3075,Fiona Paterson,NewZealand,2/9/1983,,0,0,0,Women's Double Sculls
3076,Florin Curuea,Romania,12/18/1981,,0,0,0,Men's Four
3077,Frances Houghton,GreatBritain,9/19/1980,,0,0,0,Women's Quadruple Sculls
3078,Francesca Halsall,GreatBritain,4/12/1990,Southport,0,0,0,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 100m Butterfly, Women's 4x100m Freestyle Relay"
3079,Francis Hegerty,Australia,9/22/1982,,0,0,0,Men's Eight
3080,Francisco Hervas Jodar,Spain,8/16/1981,ESPLUGUES (ESP),0,0,0,Men's 10km Marathon
3081,Franck Dumoulin,France,5/13/1973,DENAIN,0,0,0,"Men's 50m Pistol, Men's 10m Air Pistol"
3082,Frederic Fokejou Tefot,Cameroon,12/3/1979,BAGAM (CMR),0,0,0,Men's +105kg
3083,Kamghe Gaba,Germany,1/13/1984,FRIEDBERG,0,0,0,Men's 4 x 400m Relay
3084,Eman Gaber,Egypt,1/11/1989,,0,0,0,"Women's Individual Foil, Women's Team Foil"
3085,Omar Gaber,Egypt,1/30/1992,,0,0,0,Men's Football
3086,Arne Gabius,Germany,3/22/1981,Hamburg,0,0,0,Men's 5000m
3087,Luan Gabriel,Dominica,5/3/1996,ROSEAU (DMA),0,0,0,Women's 200m
3088,Rubie Joy Gabriel,Palau,11/22/1994,Koror (PLW),0,0,0,Women's 100m
3089,Teresa Gabriele,Canada,11/23/1979,,0,0,0,Women's Basketball
3090,Astrid Gabrielsson,Sweden,7/27/1989,VASA (SWE),0,0,0,Women's 470
3091,Anita Gace,Croatia,4/14/1983,,0,0,0,Women's Handball
3092,Andrej Gacina,Croatia,5/21/1986,ZADAR (CRO),0,0,0,Men's Singles
3093,Shalva Gadabadze,Azerbaijan,5/30/1984,GEORGIA (GEO),0,0,0,Men's 96kg Greco-Roman
3094,Youssef Gaddour,Tunisia,3/15/1990,,0,0,0,Men's Basketball
3095,Peter Gade,Denmark,12/14/1976,Aalborg,0,0,0,Men's Singles
3096,Kelly Gadea,France,12/16/1991,,0,0,0,Women's Football
3097,Abdusalam Gadisov,Russia,3/26/1989,DAGESTAN,0,0,0,Men's 96kg Freestyle
3098,Aron Gadorfalvi,Hungary,12/5/1977,Budapest (HUN),0,0,0,Men's RS-X
3099,Gaybatulla Gadzhialiyev,Azerbaijan,6/30/1991,DAGESTAN,0,0,0,Men's Light Welter (64kg)
3100,Nathan Gafuik,Canada,6/12/1985,Calgary (CAN),0,0,0,Men's Qualification
3101,Kamilla Gafurzianova,Russia,5/18/1988,,0,1,0,"Women's Individual Foil, Women's Team Foil"
3102,Adaveeshaiah P. Gagan Ullalmath,India,1/8/1992,BANGALORE KARNATAKA (IND),0,0,0,Men's 1500m Freestyle
3103,Fazliddin Gaibnazarov,Uzbekistan,6/16/1991,Tashkent Region (UZB),0,0,0,Men's Light (60kg)
3104,Vitaly Gaiduchik,Belarus,7/12/1989,,0,0,0,Men's Football
3105,Ignisious Gaisah,Ghana,7/20/1983,Kumasi (GHA),0,0,0,Men's Long Jump
3106,Natalia Gaitan,Colombia,4/3/1991,,0,0,0,Women's Football
3107,Jarmila Gajdosova,Australia,4/26/1987,,0,0,0,Women's Doubles
3108,Danyal Gajiyev,Kazakhstan,2/20/1986,Moscow,0,0,0,Men's 84kg Greco-Roman
3109,Edward Gal,Netherlands,3/4/1970,RHEDEN (NED),0,0,0,"Individual Dressage, Team Dressage, UNDERCOVER"
3110,Mumin Gala,Djibouti,9/6/1986,Djibouti (DJI),0,0,0,Men's 5000m
3111,Marco Galiazzo,Italy,5/7/1983,Padova,1,0,0,"Men's Individual, Men's Team"
3112,Ekaterina Galitskaya,Russia,2/24/1987,Rostov,0,0,0,Women's 100m Hurdles
3113,Gulnara Galkina,Russia,7/9/1978,TATARSTAN REGION,0,0,0,Women's 3000m Steeplechase
3114,Lioubov Galkina,Russia,3/15/1973,Sverdlovsk Region,0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
3115,Geena Gall,USA,1/18/1987,Flint,0,0,0,Women's 800m
3116,Rebecca Gallantree,GreatBritain,8/19/1984,Chelmsford,0,0,0,"Women's 3m Springboard, Women's Synchronised 3m Springboard"
3117,Karen Gallardo,Chile,3/6/1984,VALDIVIA (CHI),0,0,0,Women's Discus Throw
3118,Ana Gallay,Argentina,1/16/1986,,0,0,0,Women's Beach Volleyball
3119,Valentino Gallo,Italy,7/17/1985,Siracusa,0,0,0,Men's Water Polo
3120,Tony Gallopin,France,5/24/1988,DOURDAN,0,0,0,Men's Road Race
3121,Gleb Galperin,Russia,5/25/1985,Moscow,0,0,0,Men's 10m Platform
3122,Arsen Galstyan,Russia,2/19/1989,ARMENIA (),1,0,0,Men's -60kg
3123,Fatima Galvez,Spain,1/19/1987,BAENA (ESP),0,0,0,Women's Trap
3124,Svitlana Galyuk,Ukraine,11/19/1987,LUGANSK,0,0,0,Women's Team Pursuit
3125,Tetyana Gamera-Shmyrko,Ukraine,6/1/1983,TERNOPIL REGION,0,0,0,Women's Marathon
3126,Ekaterina Gamova,Russia,10/17/1980,Chelyabinsk,0,0,0,Women's Volleyball
3127,Heidi Gan,Malaysia,10/8/1988,AUSTRALIA (AUS),0,0,0,Women's 10km Marathon
3128,Diogo Ganchinho,Portugal,9/12/1987,SANTO ESTEVAO (POR),0,0,0,Men's Trampoline
3129,Dayexi Gandarela,Cuba,7/4/1986,,0,0,0,Women's Kayak Double (K2) 500m
3130,Ellen Gandy,GreatBritain,8/15/1991,BROMLEY,0,0,0,"Women's 100m Butterfly, Women's 200m Butterfly"
3131,Renal Ganeev,Russia,1/13/1985,,0,0,0,"Men's Individual Foil, Men's Team Foil"
3132,Edina Gangl,Hungary,6/25/1990,MOSONMAGYAROVAR (HUN),0,0,0,Women's Water Polo
3133,Imri Ganiel,Israel,1/8/1992,BEER,0,0,0,Men's 100m Breaststroke
3134,Denis Gankin,Kazakhstan,12/13/1989,TALDYKORGAN,0,0,0,Men's Individual
3135,Jantsan Gantugs,Mongolia,4/12/1972,MOSKOW,0,0,0,Men's Individual
3136,Oyungerel Gantumur,Mongolia,5/19/1992,Orkhon Province (MGL),0,0,0,Women's 100m Breaststroke
3137,Ao Gao,China,7/26/1990,,0,0,0,Women's Water Polo
3138,Chang Gao,China,1/29/1987,Shandong,0,0,0,Women's 4x100m Medley Relay
3139,Grace Gao,Canada,10/17/1989,Beijing,0,0,0,Mixed Doubles
3140,Lihua Gao,China,10/31/1979,Liaoning,0,0,0,Women's Hockey
3141,Ning Gao,Singapore,10/11/1982,Hebei,0,0,0,"Men's Singles, Men's Team"
3142,Song Gao,China,4/16/1992,,0,0,0,Women's Basketball
3143,Yulan Gao,China,10/3/1982,,0,0,0,Women's Pair
3144,Aliya Garayeva,Azerbaijan,1/1/1988,Ekaterinburg,0,0,0,Individual All-Around
3145,Alex Garcia,Brazil,3/4/1980,,0,0,0,Men's Basketball
3146,Danielys Garcia,Venezuela,8/20/1986,VALERA,0,0,0,Women's Road Race
3147,Estefania Garcia,Ecuador,5/13/1988,Portoviejo (ECU),0,0,0,Women's -63kg
3148,Fernando Gabriel Garcia,Argentina,8/31/1981,,0,0,0,Men's Handball
3149,Hanser Garcia,Cuba,10/10/1988,Villa Clara (CUB),0,0,0,"Men's 50m Freestyle, Men's 100m Freestyle"
3150,Jesus Angel Garcia,Spain,10/17/1969,Madrid (ESP),0,0,0,Men's 50km Race Walk
3151,Jorge Antonio Garcia,Cuba,1/14/1988,,0,0,0,Men's Kayak Single (K1) 1000m
3152,Jose Amado Garcia,Guatemala,9/13/1977,SAN JERONIMO BAJA VERAPAZ (GUA),0,0,0,Men's Marathon
3153,Maica Garcia,Spain,10/17/1990,,0,0,0,Women's Water Polo
3154,Maria Garcia,DominicanRepublic,8/19/1987,LA VEGA (DOM),0,0,0,Women's -52kg
3155,Ricardo Garcia,Brazil,11/19/1975,,0,0,0,Men's Volleyball
3156,Rosibel Garcia,Colombia,2/13/1981,Caracas,0,0,0,Women's 800m
3157,Victor Garcia,Spain,3/13/1985,Madrid (ESP),0,0,0,Men's 3000m Steeplechase
3158,Yordani Garcia,Cuba,11/21/1988,Pinar del Rio (CUB),0,0,0,Men's Decathlon
3159,Jorge Eduardo Garcia Bustos,Chile,4/22/1987,LA SERENA,0,0,0,Men's 105kg
3160,Diego Garcia de Leon,Mexico,2/2/1990,Mexico D.F. (MEX),0,0,0,Men's -58kg
3161,Javier Garcia Gadea,Spain,1/5/1984,Barcelona (ESP),0,0,0,Men's Water Polo
3162,Daniel Garcia Gonzalez,Andorra,10/9/1984,Andorra la Vella,0,0,0,Men's -66kg
3163,Nicolas Garcia Hemme,Spain,6/20/1988,LAS PALMAS (ESP),0,0,0,Men's -80kg
3164,Evelyn Yesenia Garcia Marroquin,ElSalvador,12/29/1982,Santa Ana (ESA),0,0,0,Women's Road Race
3165,Ivan Garcia Navarro,Mexico,10/25/1993,GUADALAJARA (MEX),0,1,0,"Men's 10m Platform, Men's Synchronised 10m Platform"
3166,Diana Maria Garcia Orrego,Colombia,3/17/1982,BARBOSA (COL),0,0,0,"Women's Keirin, Women's Team Sprint"
3167,Mario Garcia Rodriguez,Spain,7/15/1983,Madrid (ESP),0,0,0,Men's Water Polo
3168,Elsa Garcia Rodriguez Blancas,Mexico,2/8/1990,MONTERREY (MEX),0,0,0,Women's Qualification
3169,Marina Garcia Urzainqui,Spain,6/6/1994,Barcelona (ESP),0,0,0,"Women's 100m Breaststroke, Women's 200m Breaststroke, Women's 4x100m Medley Relay"
3170,Vanessa Garcia Vega,PuertoRico,7/18/1984,SAN JUAN (PUR),0,0,0,Women's 50m Freestyle
3171,John Garcia-Thompson,GreatBritain,6/8/1979,,0,0,0,Men's Beach Volleyball
3172,Stina Gardell,Sweden,3/28/1990,ENSKEDE STOCKHOLM (SWE),0,0,0,"Women's 200m Individual Medley, Women's 400m Individual Medley"
3173,Robert Gardos,Austria,1/16/1979,Budapest (AUT),0,0,0,Men's Team
3174,Roba Gari,Ethiopia,4/12/1982,Shoa (ETH),0,0,0,Men's 3000m Steeplechase
3175,Emin Garibov,Russia,9/8/1990,Moscow,0,0,0,"Men's Individual All-Around, Men's Team, Men's Qualification"
3176,Robin Garnham,GreatBritain,5/1/1988,,0,0,0,Men's Handball
3177,Vincent Garos,France,6/1/1982,Nantes,0,0,0,Men's 470
3178,Luis Garrido,Honduras,11/5/1990,,0,0,0,Men's Football
3179,Gonzalo Andres Garrido Zenteno,Chile,9/2/1973,CONCEPCION (CHI),0,0,0,Men's Road Race
3180,Timi Garstang,MarshallIslands,7/21/1987,California,0,0,0,Men's 100m
3181,Elmar Gasimov,Azerbaijan,11/2/1990,ABSHERON (AZE),0,0,0,Men's -100kg
3182,Adam Gemili,GreatBritain,10/6/1993,London,0,0,0,"Men's 100m, Men's 4 x 100m Relay"
3183,Andrew Gemmell,USA,2/20/1991,Columbia,0,0,0,Men's 1500m Freestyle
3184,Kris Gemmell,NewZealand,4/28/1977,Napier (NZL),0,0,0,Men's Triathlon
3185,Elena Gemo,Italy,3/17/1987,Padova,0,0,0,"Women's 100m Backstroke, Women's 4x100m Medley Relay"
3186,Alex Genest,Canada,6/30/1986,Shawinigan (CAN),0,0,0,Men's 3000m Steeplechase
3187,Manuela Gentili,Italy,2/7/1978,CASTEL SAN GIOVANNI,0,0,0,Women's 4 x 400m Relay
3188,Matthew Judah Gentry,Canada,7/30/1982,Grants Pass,0,0,0,Men's 74kg Freestyle
3189,Lesle-Ann George,SouthAfrica,10/20/1985,Bloemfontein (RSA),0,0,0,Women's Hockey
3190,Phylicia George,Canada,11/16/1987,Toronto (CAN),0,0,0,Women's 100m Hurdles
3191,Regina George,Nigeria,2/17/1991,Chicago,0,0,0,"Women's 400m, Women's 4 x 400m Relay"
3192,Winston George,Guyana,5/19/1987,Georgetown (GUY),0,0,0,Men's 400m
3193,Laura Georges,France,8/20/1984,,0,0,0,Women's Football
3194,Ramiro Georgescu,Romania,11/27/1982,ORADEA,0,0,0,Men's Water Polo
3195,Dmitri Gerasimenko,Serbia,10/1/1987,Zlatoust,0,0,0,Men's -90kg
3196,Marie Gerbron,GreatBritain,12/23/1986,,0,0,0,Women's Handball
3197,Csaba Gercsak,Hungary,8/19/1988,Budapest (HUN),0,0,0,Men's 10km Marathon
3198,Par Gerell,Sweden,6/23/1982,SKOGSLYCKAN,0,0,0,"Men's Singles, Men's Team"
3199,Andreas Geritzer,Austria,12/11/1977,Vienna (AUT),0,0,0,Men's Laser
3200,Svetlana Germanovich,Kazakhstan,9/21/1986,,0,0,0,Women's Single Sculls
3201,Alix Gerniers,Belgium,6/29/1993,RENAIX (BEL),0,0,0,Women's Hockey
3202,Simona Gherman,Romania,4/12/1985,,0,0,0,"Women's Individual Epee, Women's Team Epee"
3203,Alexandru Ghiban,Romania,10/12/1986,MIZIL,0,0,0,Men's Water Polo
3204,Arnaud Ghislain,Belgium,12/2/1988,BELOEIL (BEL),0,0,0,Men's 4 x 400m Relay
3205,Soumyajit Ghosh,India,5/10/1993,SILIGURI (IND),0,0,0,Men's Singles
3206,Habiba Ghribi,Tunisia,4/9/1984,Kairouan (TUN),0,0,0,Women's 3000m Steeplechase
3207,Massimo Giacoppo,Italy,5/10/1983,MESSINA,0,0,0,Men's Water Polo
3208,Maria Clara Giai Pron,Italy,7/31/1992,Torino,0,0,0,Women's Kayak (K1)
3209,Spyridon Gianniotis,Greece,2/19/1980,Liverpool,0,0,0,Men's 10km Marathon
3210,Theodora Giareni,Greece,3/3/1990,Marousi (GRE),0,0,0,Women's 4x100m Freestyle Relay
3211,Christina Giazitzidou,Greece,10/12/1989,,0,0,0,Women's Lightweight Double Sculls
3212,Jacob Gibb,USA,2/6/1976,,0,0,0,Men's Beach Volleyball
3213,Craig Gibbons,GreatBritain,11/29/1985,WYCOMBE,0,0,0,Men's 4x100m Freestyle Relay
3214,Gemma Gibbons,GreatBritain,1/6/1987,Greenwich,0,1,0,Women's -78kg
3215,Adam Gibson,Australia,10/30/1986,,0,0,0,Men's Basketball
3216,Lisa Gibson,GreatBritain,8/12/1989,,0,0,0,Women's Water Polo
3217,Rob Gibson,Canada,2/2/1986,,0,1,0,Men's Eight
3218,Thomas Gibson,Australia,5/6/1982,,0,0,0,Men's Lightweight Double Sculls
3219,Ciara Gibson-Byrne,GreatBritain,12/3/1992,,0,0,0,Women's Water Polo
3220,Teodora Gidoiu,Romania,1/12/1986,,0,0,0,Women's Eight
3221,Ryan Giggs,GreatBritain,11/29/1973,,0,0,0,Men's Football
3222,Elena Gigli,Italy,7/9/1985,Empoli,0,0,0,Women's Water Polo
3223,Andreas Giglmayr,Austria,2/7/1984,Oberndorf (AUT),0,0,0,Men's Triathlon
3224,Tomas Aurelio Gil Martinez,Venezuela,5/23/1977,Caracas,0,0,0,"Men's Individual Time Trial, Men's Road Race"
3225,Jessica Gil Ortiz,Colombia,12/7/1990,Miami,0,0,0,Women's Qualification
3226,Philippe Gilbert,Belgium,7/5/1982,AYWAILLE (BEL),0,0,0,"Men's Individual Time Trial, Men's Road Race"
3227,Bertrand Gille,France,3/24/1978,,0,0,0,Men's Handball
3228,Guillaume Gille,France,7/12/1976,,0,0,0,Men's Handball
3229,Antoine Gillet,Belgium,3/22/1988,LIBRAMONT,0,0,0,Men's 4 x 400m Relay
3230,Eric Gillis,Canada,3/8/1980,ANTIGONISH (CAN),0,0,0,Men's Marathon
3231,Shara Gillow,Australia,12/23/1987,NAMBOUR (AUS),0,0,0,"Women's Individual Time Trial, Women's Road Race"
3232,Fabien Gilot,France,4/27/1984,DENAIN,1,0,0,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
3233,Drew Ginn,Australia,11/20/1974,,0,0,0,Men's Four
3234,Manu Ginobili,Argentina,7/28/1977,,0,0,0,Men's Basketball
3235,Simona Gioli,Italy,9/17/1977,RAPALLO,0,0,0,Women's Volleyball
3236,Panagiotis Gionis,Greece,1/7/1980,Marousi (GRE),0,0,0,Men's Singles
3237,Giuseppe Giordano,Italy,7/16/1974,Napoli,0,0,0,Men's 50m Pistol
3238,Alex Giorgetti,Italy,12/24/1987,Budapest (HUN),0,0,0,Men's Water Polo
3239,Eleonora Giorgi,Italy,9/14/1989,Milano,0,0,0,Women's 20km Race Walk
3240,Guilherme Giovannoni,Brazil,6/2/1980,,0,0,0,Men's Basketball
3241,Andrea Giovi,Italy,8/19/1983,PERUGIA,0,0,0,Men's Volleyball
3242,Santiago Giraldo,Colombia,11/27/1987,,0,0,0,"Men's Singles, Men's Doubles"
3243,Jorge Hugo Giraldo Lopez,Colombia,9/5/1979,MEDELLIN,0,0,0,Men's Qualification
3244,Christine Girard,Canada,1/3/1985,ELLIOT LAKE,0,0,1,Women's 63kg
3245,Veronique Girardet,France,10/09/1965,,0,0,0,Women's Skeet
3246,Arnie David Girat,Cuba,8/26/1984,Villa Clara (CUB),0,0,0,Men's Triple Jump
3247,Nikola Girke,Canada,12/30/1977,Grande Prairie (CAN),0,0,0,Women's RS-X
3248,Romain Girouille,France,4/26/1988,SAINT,0,0,0,"Men's Individual, Men's Team"
3249,Amund Nordal Gismervik,Norway,1/24/1991,Stavanger (NOR),0,0,0,Men's 10m Platform
3250,Ramon Gittens,Barbados,7/20/1987,Bridgetown (BAR),0,0,0,Men's 100m
3251,Niccolo' Gitto,Italy,10/12/1986,Roma,0,0,0,Men's Water Polo
3252,Kristian Gkolomeev,Greece,7/4/1993,VELINGRANT (BUL),0,0,0,Men's 100m Freestyle
3253,Apostolos Gkountoulas,Greece,2/4/1985,,0,0,0,Men's Pair
3254,Nikolaos Gkountoulas,Greece,2/4/1985,,0,0,0,Men's Pair
3255,Monique Gladding,GreatBritain,6/17/1981,Durban (RSA),0,0,0,Women's 10m Platform
3256,Dragana Gladovic,Serbia,7/27/1992,Sabac (SRB),0,0,0,Women's -57kg
3257,Mads Glaesner,Denmark,10/18/1988,Kastrup (DEN),0,0,0,"Men's 200m Freestyle, Men's 400m Freestyle, Men's 4x200m Freestyle Relay"
3258,Jasmin Glaesser,Canada,7/8/1992,PADERBORN,0,0,0,Women's Team Pursuit
3259,Matthew Glaetzer,Australia,8/24/1992,CAMPBELLTOWN (AUS),0,0,0,Men's Team Sprint
3260,Zaneta Glanc,Poland,3/11/1983,Poznan,0,0,0,Women's Discus Throw
3261,Jan-Philip Glania,Germany,11/8/1988,Fulda,0,0,0,"Men's 100m Backstroke, Men's 200m Backstroke"
3262,Anton Glasnovic,Croatia,1/18/1981,Zagreb (CRO),0,0,0,"Men's Trap, Men's Double Trap"
3263,Iryna Glavnyk,Ukraine,5/11/1996,Kyiv,0,0,0,Women's 4x200m Freestyle Relay
3264,Elizabeth Gleadle,Canada,12/5/1988,Vancouver (CAN),0,0,0,Women's Javelin Throw
3265,Jake Gleeson,NewZealand,6/26/1990,,0,0,0,Men's Football
3266,Anastasia Gloushkov,Israel,5/24/1985,MOSCJOW,0,0,0,Women's Duets
3267,Helen Glover,GreatBritain,6/17/1986,,1,0,0,Women's Pair
3268,Steven Gluckstein,USA,6/24/1990,Red Bank,0,0,0,Men's Trampoline
3269,Katie Glynn,NewZealand,3/14/1989,Auckland (NZL),0,0,0,Women's Hockey
3270,Jacob Gnahoui,Benin,11/18/1985,ALLADA (BEN),0,0,0,Men's -60kg
3271,Mathieu Gnanligo,Benin,12/13/1986,PORTO,0,0,0,Men's 400m
3272,Priscilla Gneto,France,8/3/1991,YOPOUGON (CIV),0,0,1,Women's -52kg
3273,Ekaterina Gnidenko,Russia,12/11/1992,Tula,0,0,0,"Women's Sprint, Women's Keirin"
3274,Dimitri Goanta,Romania,7/17/1987,Bucuresti,0,0,0,Men's Water Polo
3275,Celine Goberville,France,9/19/1986,Senlis,0,1,0,"Women's 10m Air Pistol, Women's 25m Pistol"
3276,Zivko Gocic,Serbia,8/22/1982,Beograd (SRB),0,0,0,Men's Water Polo
3277,James Goddard,GreatBritain,3/30/1983,Victoria (SEY),0,0,0,Men's 200m Individual Medley
3278,Jaroslaw Godek,Poland,8/5/1981,,0,0,0,Men's Pair
3279,Daniel Godelli,Albania,1/10/1992,PEQIN ELBASAN,0,0,0,Men's 69kg
3280,Maartje Goderie,Netherlands,4/5/1984,S,0,0,0,Women's Hockey
3281,Larry Godfrey,GreatBritain,6/9/1976,Bristol,0,0,0,"Men's Individual, Men's Team"
3282,Elodie Godin,France,7/5/1985,,0,0,0,Women's Basketball
3283,Kenny Godoy,Honduras,1/6/1986,Tegucigalpa (HON),0,0,0,Men's -60kg
3284,Gilberto Godoy Filho,Brazil,12/23/1976,,0,0,0,Men's Volleyball
3285,William Godward,Australia,4/15/1984,Townsville (AUS),0,0,0,Men's 10m Air Rifle
3286,Tom R Goegebuer,Belgium,3/27/1975,Gent,0,0,0,Men's 56kg
3287,Julia Goerges,Germany,11/2/1988,,0,0,0,"Women's Singles, Women's Doubles"
3288,David Goffin,Belgium,12/7/1990,,0,0,0,Men's Singles
3289,Alan Gogaev,Russia,3/8/1990,DIGORA,0,0,0,Men's 66kg Freestyle
3290,Maiko Gogoladze,Georgia,9/9/1991,RUSSIA,0,0,0,Women's Long Jump
3291,George Gogshelidze,Georgia,11/7/1979,GORI (GEO),0,0,0,Men's 96kg Freestyle
3292,Liu Ying Goh,Malaysia,5/30/1989,MELAKA,0,0,0,Mixed Doubles
3293,Matt Gohdes,Australia,5/8/1990,,0,0,0,Men's Hockey
3294,Vladimir Gojkovic,Montenegro,1/29/1981,KOTOR (MNE),0,0,0,Men's Water Polo
3295,Jakov Gojun,Croatia,4/18/1986,,0,0,0,Men's Handball
3296,Michal Golas,Poland,4/29/1984,Torun,0,0,0,Men's Road Race
3297,Anders Golding,Denmark,5/12/1984,Aalborg (DEN),0,1,0,Men's Skeet
3298,Grant Goldschmidt,SouthAfrica,4/16/1983,,0,0,0,Men's Beach Volleyball
3299,Sara Goller,Germany,5/21/1984,,0,0,0,Women's Beach Volleyball
3300,Sasa Golob,Slovenia,8/17/1991,Ljubljana (SLO),0,0,0,Women's Qualification
3301,Luba Golovina,Georgia,4/20/1990,Tbilisi (GEO),0,0,0,Women's Trampoline
3302,Olga Golovkina,Russia,12/17/1986,Perm Region,0,0,0,Women's 5000m
3303,Franziska Goltz,Germany,2/19/1985,Schwerin,0,0,0,Women's Laser Radial
3304,Carolin Golubytskyi,Germany,12/19/1985,,0,0,0,Women's Individual Foil
3305,Beatriz Gomes,Portugal,12/31/1979,,0,0,0,"Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m"
3306,Vanda Gomes,Brazil,11/7/1988,Matelandia (BRA),0,0,0,Women's 4 x 100m Relay
3307,Daniel Gomez,Mexico,5/6/1990,,0,0,0,Men's Individual Foil
3308,Inaki Gomez,Canada,1/16/1988,Mexico City (MEX),0,0,0,Men's 20km Race Walk
3309,Javier Gomez,Spain,3/25/1983,BASILEA,0,0,0,Men's Triathlon
3310,Beatriz Gomez Cortes,Spain,12/29/1994,PONTEVEDRA (ESP),0,0,0,Women's 200m Individual Medley
3311,Javier Gomez Fuertes,Spain,12/5/1986,Mataro (ESP),0,0,0,"Men's Individual All-Around, Men's Team, Men's Qualification"
3312,Franklin Gomez Matos,PuertoRico,8/5/1986,PUERTO PLATA (DOM),0,0,0,Men's 60kg Freestyle
3313,Alejandro Gomez Perez,Venezuela,4/22/1985,Caracas,0,0,0,Men's 1500m Freestyle
3314,Ana Sofia Gomez Porras,Guatemala,11/24/1995,GUATEMALA CITY (GUA),0,0,0,"Women's Individual All-Around, Women's Qualification"
3315,Emilie Gomis,France,10/18/1983,,0,0,0,Women's Basketball
3316,Yevgeniya Gomon,Ukraine,3/25/1995,ZAPORIZHZHIA,0,0,0,Group All-Around
3317,Ana Goncalves,Angola,1/3/1993,,0,0,0,Women's Basketball
3318,Rita Goncalves,Portugal,4/17/1981,Lisboa (POR),0,0,0,Women's Elliott 6m
3319,Nataliya Goncharova,Russia,6/1/1989,LVOV REGION,0,0,0,Women's Volleyball
3320,Jozef Gonci,Slovakia,3/18/1974,Kosice (SVK),0,0,0,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
3321,Shuichi Gonda,Japan,3/3/1989,,0,0,0,Men's Football
3322,Flora Gondos,Hungary,4/11/1992,BECS (HUN),0,0,0,Women's 3m Springboard
3323,Jinjie Gong,China,11/12/1986,Jilin,0,1,0,Women's Team Sprint
3324,Lei Gong,China,3/26/1983,Shandong,0,0,0,Men's Finn
3325,Lijiao Gong,China,1/24/1989,Hebei,0,0,0,Women's Shot Put
3326,Carlos Gongora Mercado,Ecuador,5/25/1989,Esmeraldas (ECU),0,0,0,Men's Light Heavy (81kg)
3327,Ethiene Cristina Gonser Franco,Brazil,4/27/1992,Curitiba (BRA),0,0,0,"Women's Team, Women's Qualification"
3328,Roman Gontiuk,Ukraine,2/2/1984,Ivano,0,0,0,Men's -90kg
3329,Jermaine Gonzales,Jamaica,11/26/1984,St Catherine (JAM),0,0,0,"Men's 400m, Men's 4 x 400m Relay"
3330,Alexis Gonzalez,Argentina,7/21/1981,Buenos Aires (ARG),0,0,0,Men's Volleyball
3331,Andy Gonzalez,Cuba,10/17/1987,Ciudad Habana (CUB),0,0,0,Men's 800m
3332,Angie Gonzalez,Venezuela,1/3/1981,LA VICTORIA,0,0,0,Women's Omnium
3333,Asley Gonzalez,Cuba,9/5/1989,Villa Clara,0,1,0,Men's -90kg
3334,Fabian Gonzalez,Spain,5/8/1992,PALMA DE MALLORCA (ESP),0,0,0,"Men's Individual All-Around, Men's Team, Men's Qualification"
3335,Matias Gonzalez,Argentina,1/31/1985,,0,0,0,Men's Hockey
3336,Melissa Gonzalez,USA,1/24/1989,Peekskill,0,0,0,Women's Hockey
3337,Misleydis Gonzalez,Cuba,6/19/1978,GRANMA (CUB),0,0,0,Women's Shot Put
3338,Norma Gonzalez,Colombia,8/11/1982,SANTANDER DE QUILICHAO (COL),0,0,0,"Women's 200m, Women's 4 x 100m Relay"
3339,Ursula Gonzalez,Mexico,11/22/1991,,0,0,0,Women's Individual Sabre
3340,Joel Gonzalez Bonilla,Spain,9/30/1989,FIGUERES (ESP),0,0,0,Men's -58kg
3341,Diego Gonzalez Parro,Chile,9/24/1987,Santiago (CHI),0,0,0,Men's 470
3342,Maria Fernanda Gonzalez Ramirez,Mexico,4/25/1990,Mexico D.F. (MEX),0,0,0,"Women's 100m Backstroke, Women's 200m Backstroke"
3343,Enrique Tomas Gonzalez Sepulveda,Chile,11/22/1985,Santiago (CHI),0,0,0,Men's Qualification
3344,Yumari Gonzalez Valdivieso,Cuba,6/13/1979,Sancti Spiritus (CUB),0,0,0,Women's Road Race
3345,Paul Goodison,GreatBritain,11/29/1977,Sheffield,0,0,0,Men's Laser
